2014-12-30 10:57:36 install libc-bin:i386 <none> 2.19-0ubuntu6
2014-12-30 10:57:36 status half-installed libc-bin:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status unpacked libc-bin:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status unpacked libc-bin:i386 2.19-0ubuntu6
2014-12-30 10:57:36 upgrade libc6:i386 2.19-0ubuntu6 2.19-0ubuntu6
2014-12-30 10:57:36 status half-configured libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status half-installed libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status half-installed libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:36 install libcap2:i386 <none> 1:2.24-0ubuntu2
2014-12-30 10:57:36 status half-installed libcap2:i386 1:2.24-0ubuntu2
2014-12-30 10:57:36 status unpacked libcap2:i386 1:2.24-0ubuntu2
2014-12-30 10:57:36 status unpacked libcap2:i386 1:2.24-0ubuntu2
2014-12-30 10:57:36 install libcgmanager0:i386 <none> 0.24-0ubuntu5
2014-12-30 10:57:36 status half-installed libcgmanager0:i386 0.24-0ubuntu5
2014-12-30 10:57:36 status unpacked libcgmanager0:i386 0.24-0ubuntu5
2014-12-30 10:57:36 status unpacked libcgmanager0:i386 0.24-0ubuntu5
2014-12-30 10:57:36 install libcomerr2:i386 <none> 1.42.9-3ubuntu1
2014-12-30 10:57:36 status half-installed libcomerr2:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked libcomerr2:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 status unpacked libcomerr2:i386 1.42.9-3ubuntu1
2014-12-30 10:57:36 install libdb5.3:i386 <none> 5.3.28-3ubuntu3
2014-12-30 10:57:36 status half-installed libdb5.3:i386 5.3.28-3ubuntu3
2014-12-30 10:57:36 status unpacked libdb5.3:i386 5.3.28-3ubuntu3
2014-12-30 10:57:36 status unpacked libdb5.3:i386 5.3.28-3ubuntu3
2014-12-30 10:57:36 install libdbus-1-3:i386 <none> 1.6.18-0ubuntu4
2014-12-30 10:57:36 status half-installed libdbus-1-3:i386 1.6.18-0ubuntu4
2014-12-30 10:57:36 status unpacked libdbus-1-3:i386 1.6.18-0ubuntu4
2014-12-30 10:57:36 status unpacked libdbus-1-3:i386 1.6.18-0ubuntu4
2014-12-30 10:57:36 install libdebconfclient0:i386 <none> 0.187ubuntu1
2014-12-30 10:57:36 status half-installed libdebconfclient0:i386 0.187ubuntu1
2014-12-30 10:57:36 status unpacked libdebconfclient0:i386 0.187ubuntu1
2014-12-30 10:57:36 status unpacked libdebconfclient0:i386 0.187ubuntu1
2014-12-30 10:57:36 install libdrm2:i386 <none> 2.4.52-1
2014-12-30 10:57:36 status half-installed libdrm2:i386 2.4.52-1
2014-12-30 10:57:36 status unpacked libdrm2:i386 2.4.52-1
2014-12-30 10:57:36 status unpacked libdrm2:i386 2.4.52-1
2014-12-30 10:57:36 install libgcc1:i386 <none> 1:4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status half-installed libgcc1:i386 1:4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status unpacked libgcc1:i386 1:4.9-20140406-0ubuntu1
2014-12-30 10:57:36 status unpacked libgcc1:i386 1:4.9-20140406-0ubuntu1
2014-12-30 10:57:36 install libjson-c2:i386 <none> 0.11-3ubuntu1
2014-12-30 10:57:36 status half-installed libjson-c2:i386 0.11-3ubuntu1
2014-12-30 10:57:36 status unpacked libjson-c2:i386 0.11-3ubuntu1
2014-12-30 10:57:36 status unpacked libjson-c2:i386 0.11-3ubuntu1
2014-12-30 10:57:36 install libjson0:i386 <none> 0.11-3ubuntu1
2014-12-30 10:57:36 status half-installed libjson0:i386 0.11-3ubuntu1
2014-12-30 10:57:36 status unpacked libjson0:i386 0.11-3ubuntu1
2014-12-30 10:57:36 status unpacked libjson0:i386 0.11-3ubuntu1
2014-12-30 10:57:36 install libklibc:i386 <none> 2.0.3-0ubuntu1
2014-12-30 10:57:36 status half-installed libklibc:i386 2.0.3-0ubuntu1
2014-12-30 10:57:36 status unpacked libklibc:i386 2.0.3-0ubuntu1
2014-12-30 10:57:36 status unpacked libklibc:i386 2.0.3-0ubuntu1
2014-12-30 10:57:36 install libkmod2:i386 <none> 15-0ubuntu6
2014-12-30 10:57:36 status half-installed libkmod2:i386 15-0ubuntu6
2014-12-30 10:57:36 status unpacked libkmod2:i386 15-0ubuntu6
2014-12-30 10:57:36 status unpacked libkmod2:i386 15-0ubuntu6
2014-12-30 10:57:36 install liblzma5:i386 <none> 5.1.1alpha+20120614-2ubuntu2
2014-12-30 10:57:36 status half-installed liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2014-12-30 10:57:36 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2014-12-30 10:57:36 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2014-12-30 10:57:36 install libmount1:i386 <none> 2.20.1-5.1ubuntu20
2014-12-30 10:57:36 status half-installed libmount1:i386 2.20.1-5.1ubuntu20
2014-12-30 10:57:36 status unpacked libmount1:i386 2.20.1-5.1ubuntu20
2014-12-30 10:57:36 status unpacked libmount1:i386 2.20.1-5.1ubuntu20
2014-12-30 10:57:36 install libncurses5:i386 <none> 5.9+20140118-1ubuntu1
